InvoiceNumber,InvoiceDate,CustomerCode,ProductCode,BaseQty,NetAmount,DiscountAmount,UnitPrice,ProductNameTH,GroupNameLevel1,GroupNameLevel2
HSV85C03973,20220703,KCS007721,10000600,250,2406.54,50.0,10.5,เอ็ม-150 ไฮ วิตามินบี12 150มล. 1x5x10,M-150,ENERGY DRINK
HSV88C03379,20220803,KCS003771,10000347,3,34.58,0.0,12.33,คาลพิส โซดา องุ่นเคียวโฮ 245 มล 1x4x6,CALPIS LACTO,REFRESHMENT
HSV63C00950,20220209,EKP001283,10000548,5,48.6,0.0,10.4,ลิโพ-ไฟน์ 100มล 1X5X10,LIPO,ENERGY DRINK
HSO05C00368,20220319,BBW021058,20001338,1,48.6,0.0,52.0,เบบี้มายด์แป้ง สวีทตี้พิงค์ 50ก. (6+2) 1X8,BBM,BABY TALCUM
HSA04C01965,20220427,FMK004919,20001730,6,48.6,0.0,8.67,เบบี้มายด์แป้ง สวีทตี้พิงค์ 50ก. (1x8x6),BBM,BABY TALCUM
HSZ51C02689,20220627,KNB004432,10000696,6,57.94,0.0,10.33,คารามูโจ้เรียบ ฮอตชิลลี่ 18 กรัม 1x6x6,KARAMUCHO,FOOD
HST79C00517,20220218,BBD002756,10000307,4,36.45,0.0,9.75,ซี-วิต วิตามินเลมอน 125มล. 1x9x4,C-VITT,REFRESHMENT
HSA09C03149,20220620,FMK001906,10000696,6,57.94,0.0,10.33,คารามูโจ้เรียบ ฮอตชิลลี่ 18 กรัม 1x6x6,KARAMUCHO,FOOD
IVWW82201372,20220429,ARP007109,10000548,10,97.2,0.0,10.4,ลิโพ-ไฟน์ 100มล 1X5X10,LIPO,ENERGY DRINK
HSO06C02282,20220526,BBW021347,10000187,12,91.59,4.0,8.5,เอ็มเกลือแร่ พลัส 250มล. เหลือง (1x24),M-ELECTROLYTE,SPORT DRINK
HSAO4C00600,20220525,KNB003441,10000302,10,97.2,0.0,10.4,เอ็ม-150 กระชายดำ น้ำผึ้ง 150 มล. 1X5X10 VM,M-150,ENERGY DRINK
HSAA3C00911,20220407,ACW006752,10000302,10,97.2,0.0,10.4,เอ็ม-150 กระชายดำ น้ำผึ้ง 150 มล. 1X5X10 VM,M-150,ENERGY DRINK
IVA572200856,20220321,ASC001647,10000347,6,68.22,1.0,12.33,คาลพิส โซดา องุ่นเคียวโฮ 245 มล 1x4x6,CALPIS LACTO,REFRESHMENT
HSO06C02227,20220524,BBW014269,10000399,150,1443.93,30.0,10.5,ลิโพวิตัน-ดี ฉลากใหม่ 100มล. 1x5x10,LIPO,ENERGY DRINK
HSV87C00965,20220311,KCS005548,10000430,30,241.12,0.0,8.6,ฉลามขาว วิตามินซี BOTTLE 150ML 1x5x10,CHALARM,ENERGY DRINK
HSV87C02094,20220509,KCS001274,10000430,50,397.2,5.0,8.6,ฉลามขาว วิตามินซี BOTTLE 150ML 1x5x10,CHALARM,ENERGY DRINK
HSAO7C00343,20220624,KCS006562,10000430,30,241.12,0.0,8.6,ฉลามขาว วิตามินซี BOTTLE 150ML 1x5x10,CHALARM,ENERGY DRINK
HSV63C00883,20220207,EKP003339,10000430,50,397.2,5.0,8.6,ฉลามขาว วิตามินซี BOTTLE 150ML 1x5x10,CHALARM,ENERGY DRINK
HSV84C03149,20220709,KCS001035,10000430,200,1570.09,40.0,8.6,ฉลามขาว วิตามินซี BOTTLE 150ML 1x5x10,CHALARM,ENERGY DRINK
HSV87C00699,20220220,KCS003953,10000430,20,160.75,0.0,8.6,ฉลามขาว วิตามินซี BOTTLE 150ML 1x5x10,CHALARM,ENERGY DRINK
HSAG8C00757,20220523,STW028293,10000512,100,962.62,20.0,10.5,ลิโพวิตัน-ดี 100มล 1X5X10,LIPO,ENERGY DRINK
HSQ48C01810,20220603,KCM001852,10000512,30,294.39,0.0,10.5,ลิโพวิตัน-ดี 100มล 1X5X10,LIPO,ENERGY DRINK
SO792201151,20220204,STW028275,10000512,0,0.0,0.0,10.5,ลิโพวิตัน-ดี 100มล 1X5X10,LIPO,ENERGY DRINK
HSAO4C00172,20220423,KNB002023,10000512,150,1443.93,30.0,10.5,ลิโพวิตัน-ดี 100มล 1X5X10,LIPO,ENERGY DRINK
HSAA3C00080,20220209,ACW000861,10000565,12,91.59,4.0,8.5,เอ็มเกลือแร่ 250มล ขาว 1x24,M-ELECTROLYTE,SPORT DRINK
HS792204747,20220406,STW028275,10000565,9,68.69,3.0,8.5,เอ็มเกลือแร่ 250มล ขาว 1x24,M-ELECTROLYTE,SPORT DRINK
HSO06C02606,20220615,BBW013367,10000566,12,91.59,4.0,8.5,เอ็มเกลือแร่ 250มล เหลือง 1x24,M-ELECTROLYTE,SPORT DRINK
SOA56C01023,20220221,ASC001691,10000600,0,0.0,0.0,10.5,เอ็ม-150 ไฮ วิตามินบี12 150มล. 1x5x10,M-150,ENERGY DRINK
HSO10C01857,20220527,BBW018403,10000600,50,457.94,35.0,10.5,เอ็ม-150 ไฮ วิตามินบี12 150มล. 1x5x10,M-150,ENERGY DRINK
